bench_id;wp_id;must_branch;measurement;tasks;size;time_avg;time_std;verification
14;41;rmasanitizer;base;27;20;35.0;0.0;SUCCESS
14;5;rmasanitizer;must;27;20;230.0;0.0;SUCCESS
14;45;rmasanitizer;base;64;20;48.0;0.0;SUCCESS
14;10;rmasanitizer;must;64;20;340.0;0.0;SUCCESS
14;54;rmasanitizer;base;125;20;63.0;1.224744871391589;SUCCESS
14;17;rmasanitizer;must;125;20;496.0;8.94427190999916;SUCCESS
14;55;rmasanitizer;base;216;20;84.6;3.5777087639995617;SUCCESS
14;20;rmasanitizer;must;216;20;688.0;13.038404810405298;SUCCESS
14;60;rmasanitizer;base;343;20;100.8;5.167204273105596;SUCCESS
14;29;rmasanitizer;must;343;20;850.0;12.24744871391589;SUCCESS
14;65;rmasanitizer;base;512;20;120.0;0.0;SUCCESS
14;30;rmasanitizer;must;512;20;1100.0;0.0;SUCCESS
14;70;rmasanitizer;base;729;20;134.0;5.477225575051661;SUCCESS
14;35;rmasanitizer;must;729;20;1300.0;0.0;SUCCESS
